test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n
2012,expanding,9,48.8,198,0.5505050505050505,0.7828282828282829,0.8585858585858586,0.08080808080808081,0.22727272727272727,0.6531986531986532,1.3091926353451793,0.01313440746812702,0.12815720607099856,0.005491750608376849,8712,0.48484848484848486,0.6262626262626263,1.1726104604183354,1.4352250662495956,0.04280303030303031,0.11616161616161616,676,0.7997017433254976,1.5144180556855047,3.127018696577364e-16,0.753425178255051,11.741935483870968,4,False,0.0,3,0.6,5,0.8,10
2013,expanding,10,53.8,198,0.5505050505050505,0.7575757575757576,0.8383838383838383,0.08080808080808081,0.2222222222222222,0.6565656565656566,1.3598510877488226,0.013158420950075538,0.130093654221403,0.006640402065066101,8712,0.4821969696969697,0.6161616161616161,1.2376019416525452,1.490822037076686,0.04280303030303031,0.1188131313131312,677,0.8023895239913901,1.5356249668602038,2.099092276987002e-16,0.7681992156105757,10.882352941176471,1,True,1.0,3,0.6,5,0.6,10
2014,expanding,11,59.4,198,0.6161616161616161,0.7828282828282829,0.8737373737373737,0.11616161616161616,0.2676767676767677,0.696969696969697,1.2461635580258879,0.012583808489008804,0.11845839503273531,0.006203816760965426,8712,0.5454545454545454,0.6818181818181818,1.125665750524256,1.3789237784668982,0.0707070707070707,0.15656565656565657,663,0.7198795540267627,1.361330637976678,-1.5539773255688465e-16,0.7669311453224524,11.1,4,False,0.5,4,0.75,8,0.7,10
2015,expanding,12,63.6,197,0.5888324873096447,0.7461928934010152,0.8730964467005076,0.10152284263959391,0.2131979695431472,0.6717428087986465,1.2893857291312247,0.012868728517674798,0.12209070361529793,0.005990698771135756,8668,0.5228426395939086,0.6598984771573604,1.1506957671378892,1.4349864802634476,0.0633248730964467,0.14720812182741116,665,0.7047675821796999,1.3604446017721292,1.1753338486257295e-16,0.7682024382332517,12.852941176470589,2,False,0.6666666666666666,3,1.0,5,0.6,10
2016,expanding,13,71.7,198,0.6060606060606061,0.797979797979798,0.8737373737373737,0.08080808080808081,0.24242424242424243,0.6818181818181818,1.2273095143630524,0.012711590346529269,0.11452895410807117,0.003477370420772653,8712,0.5404040404040404,0.6717171717171717,1.1028462553837115,1.370186127930733,0.045454545454545456,0.1188131313131312,656,0.7690745158139082,1.6267556907937855,-1.050650081840392e-15,0.7596251427300463,10.055555555555555,1,True,0.3333333333333333,3,0.42857142857142855,7,0.5833333333333334,12
2017,expanding,14,71.9,198,0.6161616161616161,0.8131313131313131,0.898989898989899,0.1111111111111111,0.24242424242424243,0.6801346801346803,1.1032116930524414,0.011635409578329698,0.11381830194821113,0.004005445241484946,8712,0.5478535353535353,0.6818181818181818,0.9869860330939562,1.2314485649325415,0.0707070707070707,0.15656565656565657,656,0.7153738582100924,1.4778078233438,-1.1183466077321698e-15,0.7683287444912679,9.432432432432432,2,False,1.0,3,0.6,5,0.6,10
2018,expanding,15,77.7,198,0.5202020202020202,0.7575757575757576,0.8686868686868687,0.10606060606060606,0.2727272727272727,0.6767676767676768,1.4361879651460556,0.01449675247962978,0.12138994320409066,0.002947810526799142,8712,0.4494949494949495,0.5909090909090909,1.2607291906328604,1.6412980490861868,0.06060606060606061,0.15656565656565657,656,0.8156181041461747,1.7602011191337348,-2.458737820389371e-15,0.7745851053416649,13.411764705882353,1,True,0.3333333333333333,3,0.2,5,0.45454545454545453,11
2019,expanding,16,77.8,198,0.6616161616161617,0.797979797979798,0.9040404040404041,0.13131313131313133,0.2777777777777778,0.7087542087542088,1.166476905972728,0.011735779869093445,0.11161684185751888,0.005284834623500142,8712,0.5983585858585858,0.7323232323232324,1.016455589836076,1.3136222580226604,0.08825757575757576,0.18181818181818182,654,0.7242888956156542,1.4211225374867427,-1.5074587857295704e-16,0.7506859935387385,7.935483870967742,3,False,0.75,4,0.6,5,0.8,10
2020,expanding,17,78.7,153,0.5686274509803921,0.7516339869281046,0.8954248366013072,0.06535947712418301,0.2222222222222222,0.6535947712418301,1.3377278648525497,0.013473331806348009,0.12979256324275756,0.006029086741668251,6732,0.49673202614379086,0.6439542483660129,1.190244049062081,1.486378017743836,0.0292483660130719,0.1111111111111111,654,0.6477629369608295,1.2373500476937378,-5.432283912538992e-17,0.7548200522901806,8.933333333333334,1,True,0.5,4,0.875,8,0.8,10
2021,expanding,18,83.3,198,0.6717171717171717,0.8737373737373737,0.9090909090909091,0.12121212121212122,0.2727272727272727,0.6952861952861953,1.0825828188330988,0.0101633917251543,0.10838220769724054,0.007225023151312916,9108,0.6135101010101011,0.7373737373737373,0.9475566567375804,1.2381786894581674,0.07575757575757576,0.16666666666666666,674,0.714456788387616,1.5116193952065096,5.534642971425113e-17,0.7489561407442712,7.741935483870968,2,False,0.6666666666666666,3,0.6666666666666666,6,0.8,10
